"","year","week","chi"
"1",2017,1,0
"2",2017,2,0
"3",2017,3,0
"4",2017,4,0
"5",2017,5,0
"6",2017,6,0
"7",2017,7,0
"8",2017,8,0
"9",2017,9,0
"10",2017,10,0
"11",2017,11,0
"12",2017,12,0
"13",2017,13,0
"14",2017,14,0
"15",2017,15,0
"16",2017,16,0
"17",2017,17,0
"18",2017,18,0
"19",2017,19,0
"20",2017,20,0
"21",2017,21,0
"22",2017,22,0
"23",2017,23,0
"24",2017,24,0
"25",2017,25,0
"26",2017,26,0
"27",2017,27,0
"28",2017,28,0
"29",2017,29,0
"30",2017,30,0
"31",2017,31,0
"32",2017,32,0
"33",2017,33,0
"34",2017,34,0
"35",2017,35,0
"36",2017,36,0
"37",2017,37,0
"38",2017,38,0
"39",2017,39,0
"40",2017,40,0
"41",2017,41,0
"42",2017,42,0
"43",2017,43,0
"44",2017,44,0
"45",2017,45,0
"46",2017,46,0
"47",2017,47,0
"48",2017,48,0
"49",2017,49,0
"50",2017,50,0
"51",2017,51,0
"52",2017,52,0
"53",2018,1,0
"54",2018,2,0
"55",2018,3,0
"56",2018,4,0
"57",2018,5,0
"58",2018,6,0
"59",2018,7,0
"60",2018,8,0
"61",2018,9,0
"62",2018,10,0
"63",2018,11,0
"64",2018,12,0
"65",2018,13,0
"66",2018,14,0
"67",2018,15,0
"68",2018,16,0
"69",2018,17,0
"70",2018,18,0
"71",2018,19,0
"72",2018,20,0
"73",2018,21,0
"74",2018,22,0
"75",2018,23,0
"76",2018,24,0
"77",2018,25,0
"78",2018,26,0
"79",2018,27,0
"80",2018,28,0
"81",2018,29,0
"82",2018,30,0
"83",2018,31,0
"84",2018,32,0
"85",2018,33,0
"86",2018,34,0
"87",2018,35,0
"88",2018,36,0
"89",2018,37,0
"90",2018,38,0
"91",2018,39,0
"92",2018,40,0
"93",2018,41,0
"94",2018,42,0
"95",2018,43,0
"96",2018,44,0
"97",2018,45,0
"98",2018,46,0
"99",2018,47,0
"100",2018,48,0
"101",2018,49,0
"102",2018,50,0
"103",2018,51,0
"104",2018,52,0
"105",2019,1,0
"106",2019,2,0
"107",2019,3,0
"108",2019,4,0
"109",2019,5,0
"110",2019,6,0
"111",2019,7,0
"112",2019,8,0
"113",2019,9,0
"114",2019,10,0
"115",2019,11,0
"116",2019,12,0
"117",2019,13,0
"118",2019,14,0
"119",2019,15,0
"120",2019,16,0
"121",2019,17,0
"122",2019,18,0
"123",2019,19,0
"124",2019,20,0
"125",2019,21,0
"126",2019,22,0
"127",2019,23,0
"128",2019,24,0
"129",2019,25,0
"130",2019,26,0
"131",2019,27,0
"132",2019,28,0
"133",2019,29,0
"134",2019,30,0
"135",2019,31,0
"136",2019,32,0
"137",2019,33,0
"138",2019,34,0
"139",2019,35,0
"140",2019,36,0
"141",2019,37,0
"142",2019,38,0
"143",2019,39,0
"144",2019,40,0
"145",2019,41,0
"146",2019,42,0
"147",2019,43,0
"148",2019,44,0
"149",2019,45,0
"150",2019,46,0
"151",2019,47,0
"152",2019,48,0
"153",2019,49,0
"154",2019,50,0
"155",2019,51,0
"156",2019,52,0
"157",2020,1,0
"158",2020,2,0
"159",2020,3,8.16
"160",2020,4,14.6271428571429
"161",2020,5,21.2557142857143
"162",2020,6,22.02
"163",2020,7,22.02
"164",2020,8,22.02
"165",2020,9,23.5542857142857
"166",2020,10,26.6171428571429
"167",2020,11,34.5257142857143
"168",2020,12,64.2
"169",2020,13,69.81
"170",2020,14,70.83
"171",2020,15,73.5542857142857
"172",2020,16,75.6
"173",2020,17,75.6
"174",2020,18,73.8971428571429
"175",2020,19,69.64
"176",2020,20,69.64
"177",2020,21,71.68
"178",2020,22,73.21
"179",2020,23,73.21
"180",2020,24,61.9
"181",2020,25,60.6285714285714
"182",2020,26,57.74
"183",2020,27,57.74
"184",2020,28,57.74
"185",2020,29,57.74
"186",2020,30,55.36
"187",2020,31,58.7614285714286
"188",2020,32,66.67
"189",2020,33,66.67
"190",2020,34,66.67
"191",2020,35,66.67
"192",2020,36,66.67
"193",2020,37,67.3057142857143
"194",2020,38,67.56
"195",2020,39,61.8585714285714
"196",2020,40,61.9
"197",2020,41,64.4571428571429
"198",2020,42,69.05
"199",2020,43,67.8585714285714
"200",2020,44,69.6828571428571
"201",2020,45,76.91
"202",2020,46,78.27
"203",2020,47,78.27
"204",2020,48,78.27
"205",2020,49,75.89
"206",2020,50,69.94
"207",2020,51,69.94
"208",2020,52,69.94
"209",2021,1,69.94
"210",2021,2,71.8114285714286
"211",2021,3,76.49
"212",2021,4,76.49
"213",2021,5,76.49
"214",2021,6,76.49
"215",2021,7,76.49
"216",2021,8,77.3071428571428
"217",2021,9,77.9842857142857
"218",2021,10,76.96
"219",2021,11,76.3514285714286
"220",2021,12,76.1485714285714
"221",2021,13,76.45
"222",2021,14,68.46
"223",2021,15,62.1371428571429
"224",2021,16,65.0428571428571
"225",2021,17,68.1
"226",2021,18,70.0728571428571
"227",2021,19,73.6957142857143
"228",2021,20,80.71
"229",2021,21,80.71
"230",2021,22,80.71
"231",2021,23,77.2942857142857
"232",2021,24,78.71
"233",2021,25,87.4871428571429
"234",2021,26,88.27
"235",2021,27,89.29
"236",2021,28,89.29
"237",2021,29,87.5028571428572
"238",2021,30,85.12
"239",2021,31,84.5257142857143
"240",2021,32,83.4042857142857
"241",2021,33,82.3214285714286
"242",2021,34,75.24
"243",2021,35,75.1257142857143
"244",2021,36,74.7742857142857
"245",2021,37,73.1442857142857
"246",2021,38,73.0528571428571
"247",2021,39,68.7185714285714
"248",2021,40,66.9485714285714
"249",2021,41,66.5642857142857
"250",2021,42,64.32
"251",2021,43,61.7314285714286
"252",2021,44,60.5614285714286
"253",2021,45,57.7757142857143
"254",2021,46,57.7557142857143
"255",2021,47,57.7428571428571
"256",2021,48,57.5657142857143
"257",2021,49,58.32
"258",2021,50,58.32
"259",2021,51,57.5528571428571
"260",2021,52,55.63375
"261",2022,1,50.6285714285714
"262",2022,2,48.9742857142857
"263",2022,3,48.9657142857143
"264",2022,4,48.9557142857143
"265",2022,5,48.95
"266",2022,6,48.9428571428571
"267",2022,7,48.94
"268",2022,8,48.93
"269",2022,9,48.93
"270",2022,10,48.92
"271",2022,11,48.9157142857143
"272",2022,12,48.91
"273",2022,13,48.0971428571429
"274",2022,14,43.28
"275",2022,15,43.2742857142857
"276",2022,16,43.2557142857143
"277",2022,17,43.2414285714286
"278",2022,18,38.1314285714286
"279",2022,19,37.2714285714286
"280",2022,20,32.4228571428571
"281",2022,21,30.72
"282",2022,22,30.72
"283",2022,23,30.72
"284",2022,24,30.71
"285",2022,25,33.77
"286",2022,26,34.28
"287",2022,27,31.7285714285714
"288",2022,28,31.04
"289",2022,29,33.08
"290",2022,30,31.72
"291",2022,31,29.1785714285714
"292",2022,32,28.57
"293",2022,33,28.57
"294",2022,34,28.57
"295",2022,35,28.57
"296",2022,36,28.57
"297",2022,37,28.57
"298",2022,38,28.57
"299",2022,39,28.57
"300",2022,40,28.57
"301",2022,41,28.57
"302",2022,42,28.57
"303",2022,43,28.57
"304",2022,44,28.57
"305",2022,45,28.57
"306",2022,46,28.57
"307",2022,47,27.0442857142857
"308",2022,48,26.79
"309",2022,49,26.79
"310",2022,50,26.79
"311",2022,51,26.79
"312",2022,52,27.235
